,Day,Twilight start,Sunrise,Sunset,Twilight end,Day length,Solar noon,Nautical twilight,Nautical twilight,Astronomical twilight,Astronomical twilight
0,"Tue, Sep 1",5:55:45 am,6:22:23 am,7:29:13 pm,7:55:51 pm,13:06:50,12:55:48 pm,5:22 am,8:29 pm,4:47 am,9:04 pm
1,"Wed, Sep 2",5:56:47 am,6:23:21 am,7:27:36 pm,7:54:11 pm,13:04:15,12:55:29 pm,5:23 am,8:27 pm,4:48 am,9:02 pm
2,"Thu, Sep 3",5:57:49 am,6:24:20 am,7:25:58 pm,7:52:29 pm,13:01:38,12:55:09 pm,5:24 am,8:25 pm,4:49 am,9:00 pm
3,"Fri, Sep 4",5:58:50 am,6:25:18 am,7:24:20 pm,7:50:48 pm,12:59:02,12:54:49 pm,5:25 am,8:23 pm,4:51 am,8:58 pm
4,"Sat, Sep 5",5:59:52 am,6:26:17 am,7:22:41 pm,7:49:06 pm,12:56:24,12:54:29 pm,5:26 am,8:22 pm,4:52 am,8:56 pm
5,"Sun, Sep 6",6:00:53 am,6:27:15 am,7:21:02 pm,7:47:24 pm,12:53:47,12:54:09 pm,5:27 am,8:20 pm,4:53 am,8:54 pm
6,"Mon, Sep 7",6:01:54 am,6:28:14 am,7:19:22 pm,7:45:42 pm,12:51:08,12:53:48 pm,5:29 am,8:18 pm,4:54 am,8:52 pm
7,"Tue, Sep 8",6:02:55 am,6:29:12 am,7:17:42 pm,7:44:00 pm,12:48:30,12:53:27 pm,5:30 am,8:16 pm,4:56 am,8:50 pm
8,"Wed, Sep 9",6:03:56 am,6:30:10 am,7:16:02 pm,7:42:17 pm,12:45:52,12:53:06 pm,5:31 am,8:15 pm,4:57 am,8:48 pm
9,"Thu, Sep 10",6:04:56 am,6:31:09 am,7:14:22 pm,7:40:34 pm,12:43:13,12:52:45 pm,5:32 am,8:13 pm,4:58 am,8:46 pm
10,"Fri, Sep 11",6:05:57 am,6:32:07 am,7:12:41 pm,7:38:51 pm,12:40:34,12:52:24 pm,5:33 am,8:11 pm,4:59 am,8:45 pm
11,"Sat, Sep 12",6:06:58 am,6:33:06 am,7:11:00 pm,7:37:08 pm,12:37:54,12:52:03 pm,5:34 am,8:09 pm,5:00 am,8:43 pm
12,"Sun, Sep 13",6:07:58 am,6:34:04 am,7:09:19 pm,7:35:25 pm,12:35:15,12:51:42 pm,5:35 am,8:07 pm,5:02 am,8:41 pm
13,"Mon, Sep 14",6:08:58 am,6:35:03 am,7:07:38 pm,7:33:42 pm,12:32:35,12:51:20 pm,5:36 am,8:06 pm,5:03 am,8:39 pm
14,"Tue, Sep 15",6:09:59 am,6:36:01 am,7:05:56 pm,7:31:59 pm,12:29:55,12:50:59 pm,5:37 am,8:04 pm,5:04 am,8:37 pm
15,"Wed, Sep 16",6:10:59 am,6:37:00 am,7:04:15 pm,7:30:16 pm,12:27:15,12:50:37 pm,5:38 am,8:02 pm,5:05 am,8:35 pm
16,"Thu, Sep 17",6:11:59 am,6:37:59 am,7:02:33 pm,7:28:33 pm,12:24:34,12:50:16 pm,5:39 am,8:00 pm,5:06 am,8:33 pm
17,"Fri, Sep 18",6:12:59 am,6:38:58 am,7:00:51 pm,7:26:50 pm,12:21:53,12:49:54 pm,5:40 am,7:58 pm,5:07 am,8:31 pm
18,"Sat, Sep 19",6:13:59 am,6:39:56 am,6:59:10 pm,7:25:07 pm,12:19:14,12:49:33 pm,5:41 am,7:57 pm,5:09 am,8:30 pm
19,"Sun, Sep 20",6:14:59 am,6:40:55 am,6:57:28 pm,7:23:24 pm,12:16:33,12:49:12 pm,5:42 am,7:55 pm,5:10 am,8:28 pm
20,"Mon, Sep 21",6:15:59 am,6:41:55 am,6:55:47 pm,7:21:42 pm,12:13:52,12:48:51 pm,5:43 am,7:53 pm,5:11 am,8:26 pm
21,"Tue, Sep 22",6:17:00 am,6:42:54 am,6:54:05 pm,7:19:59 pm,12:11:11,12:48:29 pm,5:45 am,7:51 pm,5:12 am,8:24 pm
22,"Wed, Sep 23",6:18:00 am,6:43:53 am,6:52:24 pm,7:18:17 pm,12:08:31,12:48:08 pm,5:46 am,7:50 pm,5:13 am,8:22 pm
23,"Thu, Sep 24",6:19:00 am,6:44:53 am,6:50:42 pm,7:16:35 pm,12:05:49,12:47:48 pm,5:47 am,7:48 pm,5:14 am,8:20 pm
24,"Fri, Sep 25",6:20:00 am,6:45:52 am,6:49:01 pm,7:14:54 pm,12:03:09,12:47:27 pm,5:48 am,7:46 pm,5:15 am,8:19 pm
25,"Sat, Sep 26",6:21:00 am,6:46:52 am,6:47:20 pm,7:13:13 pm,12:00:28,12:47:06 pm,5:49 am,7:45 pm,5:16 am,8:17 pm
26,"Sun, Sep 27",6:22:00 am,6:47:52 am,6:45:40 pm,7:11:32 pm,11:57:48,12:46:46 pm,5:50 am,7:43 pm,5:17 am,8:15 pm
27,"Mon, Sep 28",6:23:01 am,6:48:53 am,6:43:59 pm,7:09:51 pm,11:55:06,12:46:26 pm,5:51 am,7:41 pm,5:19 am,8:13 pm
28,"Tue, Sep 29",6:24:01 am,6:49:53 am,6:42:19 pm,7:08:11 pm,11:52:26,12:46:06 pm,5:52 am,7:39 pm,5:20 am,8:12 pm
29,"Wed, Sep 30",6:25:01 am,6:50:54 am,6:40:39 pm,7:06:32 pm,11:49:45,12:45:47 pm,5:53 am,7:38 pm,5:21 am,8:10 pm
